age,description,review,is_recommended,rating_star,review_date,usage_period,purchase_point
25 - 29,"Oily, Medium, Neutral","teksturnya ya creamy milk, agak lebih kental dibandingkan milk cleanser viva bengkoang. aromanya memang soft lumayan sweet sih tapi jatuhnya kayak bau susu aku kurang suka😅 daya bersihnya lumayan untuk make up daily hapus sunscreen debu dan kotoran tapi untuk make up berat agak susah juga harus digosok2 terus sampai hilang, packagingnya sendiri botol tutup ulir agak effort keluarin isinya.",yes,3,03/02/24, 1 week - 1 month, Lazada
18 and Under,"Dry, Medium, Neutral","sebenarnya produknya lumayan cukup untuk menghapus makeup (tp klo makeupnya tebel + waterproof aku ga saranin pake ini krn emg harus lebih digosok” gt). untuk yg makeupnya tipis” boleh sih pake ini. sorry, cuma aku kurang suka baunya.. kadang abis dicuci pun baunya masih kecium. trs pas dipake di mata agak perih dan bikin agak burem” gt. jd kadang klo pake ini suka kyak ragu buat dipakein ke mata krn perihnya. tp kalo kalian emg mau coba sih gapapaa tp pakenya pelan” ajaa",yes,3,30/12/23, 3 months - 6 months, Watson
19 - 24,"Combination, Medium Light, Warm","sesuai nama produknya, tekstur cleanser ini creamy. kalo menurutku ada hint bau kimia gitu yg aku kurang suka. jadi sekali beli dan abisin aja. cleansernya bagus bisa bersihin wajah dengan baik. agak perih di mata pas bersihin area mata untuk eyeliner.",yes,5,07/11/23, 1 month - 3 months, Official Brand Store
19 - 24,"Normal, Medium Light, Neutral","Pertama kali nyobain ini waktu awal kuliah tahun 2017an gitu. Sebenarnya ini lumayan ngangkat kotoran atau makeup gitu ya, tapi aku pribadi tetap ngulang pakai micelar water dan facewash juga. Gak ngasih efek negatif jg ke muka aku tp jg ga ngasih efek positif, jadi aku gak bakal repurches sii soalnya dgn micelar water dan facewash aja bagi aku udah cukup😊",yes,3,15/06/23, 1 month - 3 months, Guardian
18 and Under,"Oily, Medium Light, Cool","Milk cleanser dengan ingredients yg kompleks banget, antioksidan bejibun, moisturizing agent banyak, brightening, acne fighting, dll. Teksturnya lotion yg sedikit thick tpi gampang. Rasanya lebih kompatibel buat normal to dry skin karena efek moistnya berasa dan kesan yg aneh"" juga, daya bersihnya oke, but packaging semacam ini perlu dibalik botolnya kalo udah dikit hehe",yes,4,28/04/23, 1 month - 3 months, Shopee
18 and Under,"Normal, Medium Light, Cool",Aku sendiri ga pakai make up dan cuma pakai ini untuk hilangin sunscreen. Overall ini sangat amat hydrating! teksturnya enak banget karena kayak lotion gitu. Tapi kalau kalian pakai make up aku saranin gausah pakai ini sih. Tapi kalau kalian kulit kering & pakai ss then it's worth it.,yes,4,30/03/23, 1 week - 1 month, toserba
25 - 29,"Combination, Medium Light, Neutral","pake ini waktu kuliah dengan rangkaian emina lainnya. aku pake buat sepulang kuliah dengan harapan wajah jadi bersih gitu. tapi dia cuman bisa angkat debu, kalo make up dia masih kurang bagus. tp aku no untuk product emina yang ini, karena sepertinya dikulitku yang kombinasi ga cocok karena setelahnya wajahku jadi lebih berminyak dan timbul jerawat",No,2,03/01/23, 1 week - 1 month, Traditional market
25 - 29,"Oily, Light, Neutral","Lotionnya cenderung ke cair banget pas dipakein ke muka, berasa pake air aja gitu. Tapi cukup buat ngebersihin muka dan setelah itu kulitnya berasa halus bangeeeett. Ga ada wangi wangi yang mengganggu gitu. Over all oke laaaa",yes,4,07/09/22, 3 months - 6 months, Transmart
19 - 24,"Combination, Medium Light, Neutral","produk ini tekstur nya agak cair, aroma nya creamy susu. cukup bagus kalau dipakai buat first cleanser, kalau untuk make up memang masih kurang bersih. ga ada rasa tingling sbg first cleanser jadi aku rasa ini cocok di aku. sejak tahun sekitar 2018 sampai skrg masih pakai ini sbg first cleanser. kalau buat ngilangin make up, paling pas lagi ga punya micellar water aja, itu pun jarang2 juga sih",yes,4,18/02/22, More than 1 year, Toko Laress
19 - 24,"Normal, Medium Light, Cool",I'm so sorry but it doesn't works on me :( aku beli karena coba coba. eh taunya baru pertama kali pake mukaku langsung merasakan gatal. dari situ aku stop dulu dan coba lagi beberapa kali eh ttp aja hhuhu. akhirnya aku kasih sepupuku dan cocok di dia,No,2,31/01/22, 1 week - 1 month, Guardian
19 - 24,"Dry, Light, Cool","teksturnya cair tapi ga cair banget, wanginya kayak cream cream susu gitu. ukurannya kecil kira kira seukuran jari tengah, jadi gampang dibawa kemana mana. untuk efektivitas dia kurang buat ngebersihin makeup, tapi lumayan lah buat first cleansing. repurchase? gak dulu, mau cari yang lain aja",No,3,29/10/21, 1 week - 1 month, Shopee
19 - 24,"Oily, Medium, Neutral","pertama kali aku pakai bener-bener yah ini tuh keren banget, teksturnya yang lembut dan cepet nyerap gitu bikin kulit jadi makin lembab dan lembut, pokoknya selalu suka deh sama produk Emina❤ ini recomended banget",yes,5,24/10/21, 1 week - 1 month, Indomaret
18 and Under,"Combination, Medium Light, Neutral","secinta itu sama brand emina, sudah pakai skincare dan sudah mau juga, ingin repurchase dan beli di toko terdekat untuk beli produk ini yang sudah sangat tiris dan mau habis, ini recommended banget dan kulit aku sangat cocok pakai produk ini dari brand emina💖💖",yes,5,23/10/21, More than 1 year, Indomaret
25 - 29,"Normal, Medium, Neutral","pertama kali cobain hmmm langsung aku jatuh cinta, bener bener recommended banget nih. tekstur nya yangg lembut bikin kulitku lembab dan cerah harganya juga terjangkau serta mudah didapatkan. harganya setara dengan kualitas nya",yes,5,20/10/21, 1 week - 1 month, Sample
18 and Under,"Normal, Medium Light, Neutral","Emina bagus banget di aku, bikin mencerahkan juga apalagi serumnya sama suncreenya, toner juga bikin lembab aku tim bright stuff dan aku pakai lama jugaaa suka banget pokonya sama emina makasii banyak eminaaa luv u <3 sukses selalu emina :)",yes,5,19/10/21, 6 months - 1 year, Instagram
18 and Under,"Normal, Medium, Neutral",Produk emina emang bagus baru pertama kali pakai aja udah keliatan banget perubahannya. kulit jadi semakin lembap . memiliki aroma yang lembut dan menyegarkan. Teksturnya ringan dan tidak lengket setelah digunakan.produk ini pun Memiliki pH balanced sehingga aman digunakan karena sesuai dengan pH alami kulit.,yes,5,19/10/21, Less than 1 week, Alfamart
19 - 24,"Normal, Dark, Neutral",emang sebagus itu yaa emina.................😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍gak salah pilih pokonya😍😍😍😍makin cinta sama setiap produknyaaa😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘..........................,yes,5,19/10/21, 6 months - 1 year, Traditional market
18 and Under,"Oily, Medium, Warm","milk cleanser pertama ku! sebenernya aku beli karena sekalian beliin buat adik aku. entah emang aku aja yang d bikin gemes sama packaging nya ato yang lain juga adaa haha 😂 aku ngerasa produk"" nya emina paling cocok buat remaja"" ato abg"" yang baru dalam perskincare an butuh basic yang simple, bagus, harga terjangkau, dan gampang nemuinnya. sama halnya kayak milk cleanser nya ini teksturnya milky"" lotion kental putih bener"" khasnya susu wanginya juga. aku saranin d pake buat daily aja d rumah yang gak pake make up tebel"" oke buat first cleanser. tapii kalo yang suka make up an tebel"" aku saranin jangan deh karena dia kurang kerjanya. ada sedikit rasa cekit"" tapi cepet ilang dan sedikit lengket d kulitku jadi aku mutusin buat gak pake sering"" hehe^^ after feels nya melembabkan buat kulit kering juga oke. tingkyuu ✨",yes,4,16/07/21, Less than 1 week, Alfamart
